"Name","Platform","Year","North America","Europe","Japan","Other","Global"
"Theme Park","PS","1994","0.24","0.16","0.13","0.04","0.57"
"Road Rash","PS","1995","0.71","0.48","0","0.08","1.27"
"Road & Track Presents: The Need for Speed","PS","1995","0.56","0.38","0","0.07","1"
"Extreme Pinball","PS","1995","0.18","0.12","0","0.02","0.32"
"PGA Tour 96","PS","1995","0.13","0.09","0","0.02","0.24"
"FIFA Soccer 96","PS","1995","0.09","0.06","0","0.01","0.16"
"Shockwave Assault","PS","1995","0.05","0.04","0","0.01","0.09"
"Viewpoint","PS","1995","0.04","0.03","0","0","0.07"
"Space Hulk: Vengeance of the Blood Angels","PS","1995","0.04","0.03","0","0","0.07"
"Hi-Octane: The Track Fights Back!","PS","1995","0.03","0.02","0","0","0.05"
"Magic Carpet","PS","1995","0.03","0.02","0","0","0.05"
"Psychic Detective","PS","1995","0.01","0","0","0","0.01"
"NASCAR 98","PS","1996","1.43","0.05","0","0.04","1.52"
"Madden NFL 97","PS","1996","0.73","0.5","0","0.09","1.32"
"Soviet Strike","PS","1996","0.65","0.44","0","0.08","1.17"
"NBA Live 97","PS","1996","0.55","0.38","0","0.07","1"
"Andretti Racing","PS","1996","0.43","0.29","0","0.05","0.77"
"NHL 97","PS","1996","0.26","0.18","0","0.03","0.47"
"Fade to Black","PS","1996","0.19","0.13","0","0.02","0.34"
"NBA Live 96","PS","1996","0.16","0.11","0.04","0.02","0.33"
"OverBlood","PS","1996","0.05","0.04","0.21","0.02","0.32"
"PGA Tour 97","PS","1996","0.16","0.11","0","0.02","0.29"
"FIFA Soccer 97","PS","1996","0.09","0.06","0","0.01","0.16"
"Wing Commander III: Heart of the Tiger","PS","1996","0.09","0.06","0","0.01","0.16"
"Crusader: No Remorse","PS","1996","0.03","0.02","0","0","0.05"
"Tiger Woods 99 PGA Tour Golf","PS","1997","0.85","0.58","0","0.1","1.53"
"Knockout Kings","PS","1997","1.07","0.39","0","0.06","1.52"
"NBA Live 98","PS","1997","1.41","0.06","0","0.04","1.51"
"Madden NFL 98","PS","1997","1.29","0.03","0","0.03","1.35"
"NBA Live 99","PS","1997","1.13","0.05","0","0.03","1.22"
"Test Drive 4","PS","1997","0.67","0.46","0","0.08","1.21"
"Nuclear Strike","PS","1997","0.66","0.45","0","0.08","1.19"
"Triple Play 98","PS","1997","0.61","0.42","0","0.07","1.1"
"NHL 99","PS","1997","0.59","0.4","0","0.07","1.07"
"The Lost World: Jurassic Park","PS","1997","0.57","0.39","0","0.07","1.02"
"NHL 98","PS","1997","0.51","0.35","0","0.06","0.92"
"Moto Racer","PS","1997","0.45","0.3","0","0.05","0.8"
"Battle Stations","PS","1997","0.43","0.29","0","0.05","0.78"
"FIFA: Road to World Cup 98","PS","1997","0.14","0.09","0.46","0.05","0.73"
"NCAA Football 98","PS","1997","0.39","0.27","0","0.05","0.7"
"Moto Racer 2","PS","1997","0.39","0.26","0","0.05","0.69"
"Diablo","PS","1997","0.29","0.19","0.07","0.04","0.58"
"WarCraft II: The Dark Saga","PS","1997","0.18","0.12","0","0.02","0.31"
"Future Cop L.A.P.D.","PS","1997","0.16","0.11","0","0.02","0.3"
"Syndicate Wars","PS","1997","0.02","0.01","0","0","0.04"
"Darklight Conflict","PS","1997","0.02","0.01","0","0","0.04"
"Need for Speed III: Hot Pursuit","PS","1998","2.14","0.86","0","0.13","3.12"
"Medal of Honor","PS","1998","1.44","1.09","0","0.14","2.67"
"FIFA 2000","PS","1998","0.22","1.47","0.04","0.14","1.87"
"Madden NFL 2000","PS","1998","1.68","0.04","0","0.04","1.75"
"Madden NFL 99","PS","1998","1.66","0.04","0","0.04","1.74"
"Sled Storm","PS","1998","0.9","0.61","0","0.11","1.62"
"NASCAR 99","PS","1998","1.45","0.04","0","0.04","1.52"
"NBA Live 2000","PS","1998","1.43","0.05","0","0.03","1.52"
"Road Rash 3D","PS","1998","1.05","0.16","0","0.04","1.25"
"WCW Mayhem","PS","1998","0.68","0.46","0","0.08","1.22"
"NCAA Football 99","PS","1998","0.59","0.4","0","0.07","1.06"
"NHL 2000","PS","1998","0.48","0.33","0","0.06","0.87"
"Street Sk8er","PS","1998","0.37","0.25","0","0.04","0.67"
"Tiger Woods PGA Tour 2000","PS","1998","0.37","0.25","0","0.04","0.66"
"Small Soldiers","PS","1998","0.34","0.23","0","0.04","0.61"
"Xena: Warrior Princess","PS","1998","0.33","0.23","0","0.04","0.6"
"CyberTiger","PS","1998","0.33","0.22","0","0.04","0.59"
"Warpath: Jurassic Park","PS","1998","0.15","0.1","0","0.02","0.28"
"Populous: The Beginning","PS","1998","0.05","0.04","0","0.01","0.09"
"Theme Hospital","PS","1998","0.03","0.02","0.03","0.01","0.09"
"Auto Destruct","PS","1998","0.04","0.03","0","0.01","0.08"
"Warhammer: Dark Omen","PS","1998","0.02","0.01","0","0","0.04"
"007: Tomorrow Never Dies","PS","1999","1.72","1.33","0","0.16","3.21"
"Need For Speed: High Stakes","PS","1999","1.58","0.64","0","0.09","2.31"
"NASCAR 2000","PS","1999","0.88","0.6","0","0.1","1.59"
"Triple Play 2000","PS","1999","0.79","0.54","0","0.09","1.43"
"Knockout Kings 2000","PS","1999","1.02","0.34","0","0.05","1.41"
